lexemeCurrentNode             lineno    token               valOfNum  parentNodeSymbol              isLeafNode(yes/no)  NodeSymbol
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
eps                           ----      ----                ----      singleOrRecIdPrime            Yes                 ----                          

<---                          7         TK_ASSIGNOP         ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      assignmentStmt                No                  arithmeticExpression          
----                          ----      ----                ----      arithmeticExpression          No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
1                             7         TK_NUM              1         all                           Yes                 ----                          
----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      arithmeticExpression          No                  expPrime                      
eps                           ----      ----                ----      expPrime                      Yes                 ----                          

;                             7         TK_SEM              ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  assignmentStmt                
----                          ----      ----                ----      assignmentStmt                No                  singleOrRecId                 
d3                            8         TK_ID               ----      singleOrRecId                 Yes                 ----                          
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
                              0         TK_ASSIGNOP         ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      assignmentStmt                No                  arithmeticExpression          
                              0         TK_SEM              ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  iterativeStmt                 
while                         9         TK_WHILE            ----      iterativeStmt                 Yes                 ----                          
(                             9         TK_OP               ----      iterativeStmt                 Yes                 ----                          
----                          ----      ----                ----      iterativeStmt                 No                  booleanExpression             
----                          ----      ----                ----      booleanExpression             No                  var                           
b5b567                        9         TK_ID               ----      var                           Yes                 ----                          
----                          ----      ----                ----      booleanExpression             No                  relationalOp                  
<=                            9         TK_LE               ----      relationalOp                  Yes                 ----                          
----                          ----      ----                ----      booleanExpression             No                  var                           
d5cc34                        9         TK_ID               ----      var                           Yes                 ----                          
)                             9         TK_CL               ----      iterativeStmt                 Yes                 ----                          
----                          ----      ----                ----      iterativeStmt                 No                  stmt                          
----                          ----      ----                ----      stmt                          No                  ioStmt                        
read                          10        TK_READ             ----      ioStmt                        Yes                 ----                          
(                             10        TK_OP               ----      ioStmt                        Yes                 ----                          
----                          ----      ----                ----      ioStmt                        No                  singleOrRecId                 
c3bd                          10        TK_ID               ----      singleOrRecId                 Yes                 ----                          
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
eps                           ----      ----                ----      singleOrRecIdPrime            Yes                 ----                          

)                             10        TK_CL               ----      ioStmt                        Yes                 ----                          
;                             10        TK_SEM              ----      ioStmt                        Yes                 ----                          
----                          ----      ----                ----      iterativeStmt                 No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  assignmentStmt                
----                          ----      ----                ----      assignmentStmt                No                  singleOrRecId                 
d3                            11        TK_ID               ----      singleOrRecId                 Yes                 ----                          
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
eps                           ----      ----                ----      singleOrRecIdPrime            Yes                 ----                          

<---                          11        TK_ASSIGNOP         ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      assignmentStmt                No                  arithmeticExpression          
----                          ----      ----                ----      arithmeticExpression          No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
d3                            11        TK_ID               ----      all                           Yes                 ----                          
----                          ----      ----                ----      all                           No                  temp                          
eps                           ----      ----                ----      temp                          Yes                 ----                          

----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      arithmeticExpression          No                  expPrime                      
----                          ----      ----                ----      expPrime                      No                  lowPrecedenceOperators        
+                             11        TK_PLUS             ----      lowPrecedenceOperators        Yes                 ----                          
----                          ----      ----                ----      expPrime                      No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
c3bd                          11        TK_ID               ----      all                           Yes                 ----                          
----                          ----      ----                ----      all                           No                  temp                          
eps                           ----      ----                ----      temp                          Yes                 ----                          

----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      expPrime                      No                  expPrime                      
eps                           ----      ----                ----      expPrime                      Yes                 ----                          

;                             11        TK_SEM              ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  assignmentStmt                
----                          ----      ----                ----      assignmentStmt                No                  singleOrRecId                 
b5b567                        12        TK_ID               ----      singleOrRecId                 Yes                 ----                          
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
eps                           ----      ----                ----      singleOrRecIdPrime            Yes                 ----                          

<---                          12        TK_ASSIGNOP         ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      assignmentStmt                No                  arithmeticExpression          
----                          ----      ----                ----      arithmeticExpression          No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
b5b567                        12        TK_ID               ----      all                           Yes                 ----                          
----                          ----      ----                ----      all                           No                  temp                          
eps                           ----      ----                ----      temp                          Yes                 ----                          

----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      arithmeticExpression          No                  expPrime                      
----                          ----      ----                ----      expPrime                      No                  lowPrecedenceOperators        
+                             12        TK_PLUS             ----      lowPrecedenceOperators        Yes                 ----                          
----                          ----      ----                ----      expPrime                      No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
1                             12        TK_NUM              1         all                           Yes                 ----                          
----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      expPrime                      No                  expPrime                      
eps                           ----      ----                ----      expPrime                      Yes                 ----                          

;                             12        TK_SEM              ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
eps                           ----      ----                ----      otherStmts                    Yes                 ----                          

endwhile                      13        TK_ENDWHILE         ----      iterativeStmt                 Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
eps                           ----      ----                ----      otherStmts                    Yes                 ----                          

----                          ----      ----                ----      stmts                         No                  returnStmt                    
return                        14        TK_RETURN           ----      returnStmt                    Yes                 ----                          
----                          ----      ----                ----      returnStmt                    No                  optionalReturn                
[                             14        TK_SQL              ----      optionalReturn                Yes                 ----                          
----                          ----      ----                ----      optionalReturn                No                  idList                        
d3                            14        TK_ID               ----      idList                        Yes                 ----                          
----                          ----      ----                ----      idList                        No                  more_ids                      
eps                           ----      ----                ----      more_ids                      Yes                 ----                          

]                             14        TK_SQR              ----      optionalReturn                Yes                 ----                          
;                             14        TK_SEM              ----      returnStmt                    Yes                 ----                          
end                           15        TK_END              ----      function                      Yes                 ----                          
----                          ----      ----                ----      otherFunctions                No                  otherFunctions                
eps                           ----      ----                ----      otherFunctions                Yes                 ----                          

----                          ----      ----                ----      program                       No                  mainFunction                  
_main                         17        TK_MAIN             ----      mainFunction                  Yes                 ----                          
----                          ----      ----                ----      mainFunction                  No                  stmts                         
----                          ----      ----                ----      stmts                         No                  typeDefinitions               
eps                           ----      ----                ----      typeDefinitions               Yes                 ----                          

----                          ----      ----                ----      stmts                         No                  declarations                  
----                          ----      ----                ----      declarations                  No                  declaration                   
type                          18        TK_TYPE             ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
int                           18        TK_INT              ----      primitiveDatatype             Yes                 ----                          
:                             18        TK_COLON            ----      declaration                   Yes                 ----                          
b3                            18        TK_ID               ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  global_or_not                 
eps                           ----      ----                ----      global_or_not                 Yes                 ----                          

;                             18        TK_SEM              ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declarations                  No                  declarations                  
----                          ----      ----                ----      declarations                  No                  declaration                   
type                          19        TK_TYPE             ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  dataType                      
----                          ----      ----                ----      dataType                      No                  primitiveDatatype             
real                          19        TK_REAL             ----      primitiveDatatype             Yes                 ----                          
:                             19        TK_COLON            ----      declaration                   Yes                 ----                          
c4bd56                        19        TK_ID               ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declaration                   No                  global_or_not                 
eps                           ----      ----                ----      global_or_not                 Yes                 ----                          

;                             19        TK_SEM              ----      declaration                   Yes                 ----                          
----                          ----      ----                ----      declarations                  No                  declarations                  
eps                           ----      ----                ----      declarations                  Yes                 ----                          

----                          ----      ----                ----      stmts                         No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  assignmentStmt                
----                          ----      ----                ----      assignmentStmt                No                  singleOrRecId                 
b3                            20        TK_ID               ----      singleOrRecId                 Yes                 ----                          
----                          ----      ----                ----      singleOrRecId                 No                  singleOrRecIdPrime            
eps                           ----      ----                ----      singleOrRecIdPrime            Yes                 ----                          

<---                          20        TK_ASSIGNOP         ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      assignmentStmt                No                  arithmeticExpression          
----                          ----      ----                ----      arithmeticExpression          No                  term                          
----                          ----      ----                ----      term                          No                  factor                        
----                          ----      ----                ----      factor                        No                  all                           
7                             20        TK_NUM              7         all                           Yes                 ----                          
----                          ----      ----                ----      term                          No                  termPrime                     
eps                           ----      ----                ----      termPrime                     Yes                 ----                          

----                          ----      ----                ----      arithmeticExpression          No                  expPrime                      
eps                           ----      ----                ----      expPrime                      Yes                 ----                          

;                             20        TK_SEM              ----      assignmentStmt                Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  funCallStmt                   
----                          ----      ----                ----      funCallStmt                   No                  outputParameters              
[                             21        TK_SQL              ----      outputParameters              Yes                 ----                          
----                          ----      ----                ----      outputParameters              No                  idList                        
c4bd56                        21        TK_ID               ----      idList                        Yes                 ----                          
----                          ----      ----                ----      idList                        No                  more_ids                      
eps                           ----      ----                ----      more_ids                      Yes                 ----                          

]                             21        TK_SQR              ----      outputParameters              Yes                 ----                          
<---                          21        TK_ASSIGNOP         ----      outputParameters              Yes                 ----                          
call                          21        TK_CALL             ----      funCallStmt                   Yes                 ----                          
_sumN                         21        TK_FUNID            ----      funCallStmt                   Yes                 ----                          
with                          21        TK_WITH             ----      funCallStmt                   Yes                 ----                          
parameters                    21        TK_PARAMETERS       ----      funCallStmt                   Yes                 ----                          
----                          ----      ----                ----      funCallStmt                   No                  inputParameters               
[                             21        TK_SQL              ----      inputParameters               Yes                 ----                          
----                          ----      ----                ----      inputParameters               No                  idList                        
b3                            21        TK_ID               ----      idList                        Yes                 ----                          
----                          ----      ----                ----      idList                        No                  more_ids                      
eps                           ----      ----                ----      more_ids                      Yes                 ----                          

]                             21        TK_SQR              ----      inputParameters               Yes                 ----                          
;                             21        TK_SEM              ----      funCallStmt                   Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
----                          ----      ----                ----      otherStmts                    No                  stmt                          
----                          ----      ----                ----      stmt                          No                  ioStmt                        
write                         22        TK_WRITE            ----      ioStmt                        Yes                 ----                          
(                             22        TK_OP               ----      ioStmt                        Yes                 ----                          
----                          ----      ----                ----      ioStmt                        No                  all                           
c4bd56                        22        TK_ID               ----      all                           Yes                 ----                          
----                          ----      ----                ----      all                           No                  temp                          
eps                           ----      ----                ----      temp                          Yes                 ----                          

)                             22        TK_CL               ----      ioStmt                        Yes                 ----                          
;                             22        TK_SEM              ----      ioStmt                        Yes                 ----                          
----                          ----      ----                ----      otherStmts                    No                  otherStmts                    
eps                           ----      ----                ----      otherStmts                    Yes                 ----                          

----                          ----      ----                ----      stmts                         No                  returnStmt                    
return                        23        TK_RETURN           ----      returnStmt                    Yes                 ----                          
----                          ----      ----                ----      returnStmt                    No                  optionalReturn                
eps                           ----      ----                ----      optionalReturn                Yes                 ----                          

;                             23        TK_SEM              ----      returnStmt                    Yes                 ----                          
end                           24        TK_END              ----      mainFunction                  Yes                 ----                          
